Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821284899392803205,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-07,Quincy Hall’s effort down the stretch to win Olympic gold deserves its own medal.  #ParisOlympics,,https://twitter.com/NBCOlympics/status/1821284899392803205,False,324,2.9K,22K,2.2M
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/Olympics/status/1821643768048627926,The Olympic GamesReload,https://twitter.com/Olympics,2024-08-08,#OLYMPICRECORD FOR RIZKI JUNIANSYAH! @iwfnet | #Weightlifting | #Paris2024 | #OMEGA | #OMEGAOfficialTimekeeper,,https://twitter.com/Olympics/status/1821643768048627926,False,184,8.4K,13K,331K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/Paris2024/status/1821629071194796450,Paris 2024,https://twitter.com/Paris2024,2024-08-08,The pakistani Arshad Nadeem shatters the Olympic javelin record with a throw of 92.97m on his second attempt .#Paris2024 Getty Images/Julian Finney,https://pbs.twimg.com/media/GUe57JCXQAAz8x4?format=jpg&name=small,https://twitter.com/Paris2024/status/1821629071194796450,False,519,6.6K,21K,438K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/officialsleepme/status/1813785893955858941/,Sleepme,https://twitter.com/officialsleepme,,Cover the court during the day and let our bed cooling system cover your comfort at night. It's your best partner for a quick recovery.,,https://twitter.com/officialsleepme/status/1813785893955858941/,True,1,9,39,549K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/FIBA/status/1821651275794334007,FIBA,https://twitter.com/FIBA,2024-08-08,This was some generational cooking #Paris2024 x #Basketball,https://pbs.twimg.com/media/GUfNiF1WgAEJqX0?format=jpg&name=small,https://twitter.com/FIBA/status/1821651275794334007,False,112,3.2K,17K,333K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/SportsMax_Carib/status/1821517522484523155,SportsMaxReload,https://twitter.com/SportsMax_Carib,2024-08-08,It's been frustrating for Danniel Thomas-Dodd to prepare for the Paris 2024 games. Here is why...#Olympics2024 #OlympicsOnSportsmax #HomeOfChampions,,https://twitter.com/SportsMax_Carib/status/1821517522484523155,False,68,1.1K,1.8K,297K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/jasondadzmorgan/status/1821355562178625544,Jason Dadz Morgan ,https://twitter.com/jasondadzmorgan,2024-08-08,I told yall years ago when it was me alone. #Jamaica #Olympics2024 Gold medal  for Jamaica in the discus.,https://pbs.twimg.com/media/GUbBOsvW8AAV5kh?format=jpg&name=small,https://twitter.com/jasondadzmorgan/status/1821355562178625544,False,17,256,1.3K,28K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/FIBA/status/1821658631294599323,FIBA,https://twitter.com/FIBA,2024-08-08,This is Avengers in real life.#Paris2024 x #Basketball,https://pbs.twimg.com/media/GUfU29fWAAAVqoo?format=jpg&name=small,https://twitter.com/FIBA/status/1821658631294599323,False,57,832,5.9K,163K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/Olympics/status/1821643270889300331,The Olympic GamesReload,https://twitter.com/Olympics,2024-08-08,"#Gold and an #OLYMPICRECORD! Rizki Juniansyah dominates, winning #gold for Indonesia in weightlifting men's 73kg.@NOCIndonesia1 | @iwfnet | #Weightlifting | #Paris2024 | #Samsung | #TogetherforTomorrow",,https://twitter.com/Olympics/status/1821643270889300331,False,115,4.2K,5.6K,205K
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/FloTrack/status/1821672175176446439,FloTrackReload,https://twitter.com/FloTrack,2024-08-08,"Letsile Tebogo was asked after winning the men's 200m final if he aspires to world records and being the face of track and field.Here was his answer:""I can't be the face of athletics because I'm not an arrogant or a loud person like Noah (Lyles).""#Paris2024",,https://twitter.com/FloTrack/status/1821672175176446439,False,295,1.3K,8.2K,1.1M
